Temp,Time,Ar39,
406,597,0.0001,
407,597,0.00018,
460,597,0.00122,
460,597,0.00078,
514,594,0.00384,
514,596,0.00236,
567,596,0.009,
567,596,0.00512,
620,596,0.02112,
620,597,0.01407,
672,597,0.05271,
672,597,0.03365,
725,597,0.11203,
724,597,0.07664,
777,596,0.22775,
776,597,0.16388,
599,597,0.00102,
755,596,0.07561,
829,597,0.37837,
828,596,0.2726,
880,596,0.61047,
880,596,0.41709,
931,597,0.77657,
931,597,0.57141,
982,597,1.04902,
982,596,0.75994,
1032,597,1.25359,
1033,596,0.90329,
1083,596,1.75279,
849,596,0.05204,
962,597,0.24626,
1053,597,0.76694,
1133,597,2.12135,
1132,597,1.35806,
1183,597,4.96353,
1183,597,1.78743,
1232,597,0.71829,
1232,596,0.168,
1280,596,0.36355,
1281,597,0.18221,
1330,596,1.03266,
